"Company";"TypeName";"Inches";"Screen_size";"ScreenResolution_Width";"ScreenResolution_Length";"PPI";"Has_Touch_Screen";"Has_IPS_Panel";"Cpu_Brand";"CPU_Model";"Processing_speed";"Ram";"memory_type";"primary_memory";"secondary_memory";"weight";"price";"Intel";"AMD";"Nvidia";"macOS";"Windows";"Linux";"Android"
"Apple";"Ultrabook";15.4;"Moderate";1800;2880;221;0;1;"Intel";"Core i7";2.8;16;"SSD";256;0;1.8;130001;0;1;0;1;0;0;0
"Dell";"Notebook";15.6;"Moderate";1080;1920;141;0;0;"Intel";"Core i3";2.0;4;"SSD";256;0;2.2;26581;0;1;0;0;1;0;0
"Apple";"Ultrabook";12.0;"Small";1440;2304;226;0;1;"Intel";"Core M";1.2;8;"SSD";256;0;0.9;67260;1;0;0;1;0;0;0
"Apple";"Ultrabook";13.3;"Small";1600;2560;227;0;1;"Intel";"Core i5";2.3;8;"SSD";256;0;1.4;80908;1;0;0;1;0;0;0
"Dell";"Notebook";15.6;"Moderate";1080;1920;141;0;0;"Intel";"Core i7";2.7;8;"SSD";256;0;2.2;39693;0;1;0;0;1;0;0
"Apple";"Ultrabook";15.4;"Moderate";1800;2880;221;0;1;"Intel";"Core i7";2.9;16;"SSD";512;0;1.8;152274;0;1;0;1;0;0;0
"Lenovo";"Notebook";15.6;"Moderate";1080;1920;141;0;0;"Intel";"Core i3";2.4;8;"HDD";1024;0;2.2;26586;0;0;1;0;0;0;0
"Dell";"Ultrabook";13.3;"Small";1080;1920;166;1;1;"Intel";"Core i5";1.6;8;"SSD";128;0;1.2;52161;1;0;0;0;1;0;0
"Lenovo";"Gaming";15.6;"Moderate";1080;1920;141;0;1;"Intel";"Core i5";2.5;8;"SSD";128;1024;2.5;53226;0;0;1;0;1;0;0
"HP";"Notebook";15.6;"Moderate";768;1366;100;0;0;"AMD";"E-Series E2-9000e";1.5;4;"HDD";500;0;1.9;13746;0;1;0;0;0;0;0
"Dell";"2 in 1 Convertible";13.3;"Small";1080;1920;166;1;0;"Intel";"Core i5";1.6;8;"SSD";256;0;1.6;43636;1;0;0;0;1;0;0
"HP";"Ultrabook";15.6;"Moderate";1080;1920;141;0;0;"Intel";"Core i7";1.8;8;"SSD";256;0;1.9;35111;1;0;0;0;1;0;0
"Dell";"Notebook";15.6;"Moderate";768;1366;100;0;0;"Intel";"Core i3";2.0;4;"HDD";1024;0;2.3;22305;1;0;0;0;1;0;0
"Apple";"Ultrabook";13.3;"Small";900;1440;128;0;0;"Intel";"Core i5";1.6;8;"Flash Storage";128;0;1.4;58554;1;0;0;1;0;0;0
"Dell";"Notebook";15.6;"Moderate";1080;1920;141;0;0;"Intel";"Core i5";1.6;8;"SSD";256;0;2.2;42624;0;1;0;0;1;0;0
"Dell";"Ultrabook";15.6;"Moderate";1080;1920;141;0;0;"Intel";"Core i7";1.9;8;"SSD";256;256;1.9;69157;1;0;0;0;1;0;0
"HP";"Notebook";17.3;"High";1080;1920;127;0;0;"Intel";"Core i5";1.6;8;"HDD";1024;0;2.5;47738;0;0;1;0;1;0;0
"Chuwi";"Notebook";15.6;"Moderate";1080;1920;141;0;0;"Intel";"Atom x5-Z8300";1.44;4;"Flash Storage";64;0;1.9;13053;1;0;0;0;1;0;0
"Asus";"Notebook";14.0;"Small";768;1366;112;0;0;"AMD";"E-Series E2-6110";1.5;2;"Flash Storage";32;0;1.7;10602;0;1;0;0;1;0;0
"HP";"Notebook";17.3;"High";1080;1920;127;0;0;"AMD";"A6-Series 9220";2.5;4;"HDD";500;0;2.7;23389;0;1;0;0;1;0;0
"Dell";"Ultrabook";13.3;"Small";1800;3200;276;1;0;"Intel";"Core i7";1.8;16;"SSD";512;0;1.2;99580;1;0;0;0;1;0;0
"Apple";"Ultrabook";13.3;"Small";900;1440;128;0;0;"Intel";"Core i5";1.6;8;"Flash Storage";256;0;1.4;53173;1;0;0;1;0;0;0
"Lenovo";"Notebook";14.0;"Small";768;1366;112;0;0;"Intel";"Celeron Dual";1.1;4;"Flash Storage";64;0;1.4;13266;1;0;0;0;1;0;0
"Acer";"Notebook";15.6;"Moderate";768;1366;100;0;0;"Intel";"Core i3";2.7;4;"HDD";1024;0;2.1;19553;1;0;0;0;0;1;0
"Dell";"Notebook";17.3;"High";1080;1920;127;0;1;"Intel";"Core i5";1.6;8;"SSD";128;1024;2.8;52161;0;1;0;0;1;0;0
"HP";"Notebook";15.6;"Moderate";768;1366;100;0;0;"Intel";"Core i5";2.5;4;"HDD";1024;0;1.9;26037;1;0;0;0;1;0;0
"HP";"Notebook";15.6;"Moderate";1080;1920;141;0;0;"Intel";"Core i5";1.6;8;"SSD";256;0;2.1;46833;0;0;1;0;1;0;0
"Asus";"Notebook";15.6;"Moderate";1080;1920;141;0;0;"Intel";"Core i3";2.0;4;"HDD";1024;0;2.0;20725;1;0;0;0;0;1;0
"Dell";"Gaming";15.6;"Moderate";1080;1920;141;0;1;"Intel";"Core i7";2.8;16;"SSD";256;1024;2.7;63871;0;0;1;0;1;0;0
"Asus";"Notebook";15.6;"Moderate";768;1366;100;0;0;"Intel";"Core i5";2.5;8;"HDD";1024;0;2.3;27864;0;0;1;0;0;1;0
"Acer";"Notebook";15.6;"Moderate";1080;1920;141;0;1;"Intel";"Core i5";1.6;4;"SSD";256;0;2.2;36336;1;0;0;0;1;0;0
"Dell";"2 in 1 Convertible";17.3;"High";1080;1920;127;1;0;"Intel";"Core i5";1.6;12;"HDD";1024;0;2.8;53226;0;0;1;0;1;0;0
"Apple";"Ultrabook";13.3;"Small";1600;2560;227;0;1;"Intel";"Core i5";2.0;8;"SSD";256;0;1.4;75604;1;0;0;1;0;0;0
"Asus";"Gaming";17.3;"High";1080;1920;127;0;0;"AMD";"Ryzen 1700";3.0;8;"SSD";256;1024;3.2;69210;0;1;0;0;1;0;0
"Dell";"Notebook";15.6;"Moderate";1080;1920;141;0;0;"Intel";"Core i5";2.5;4;"SSD";256;0;2.3;34045;0;1;0;0;1;0;0
"Asus";"Notebook";17.3;"High";768;1366;91;0;0;"Intel";"Pentium Quad";1.1;4;"HDD";1024;0;2.8;24828;0;0;1;0;1;0;0
"Acer";"Notebook";15.6;"Moderate";1080;1920;141;0;1;"Intel";"Core i7";1.8;8;"SSD";256;0;2.2;44808;0;0;1;0;1;0;0
"HP";"Notebook";15.6;"Moderate";1080;1920;141;0;0;"AMD";"A6-Series 9220";2.5;4;"SSD";256;0;1.9;21231;0;1;0;0;1;0;0
"HP";"Notebook";13.3;"Small";1080;1920;166;0;0;"Intel";"Core i7";1.8;8;"SSD";512;0;1.5;58767;1;0;0;0;1;0;0
"Acer";"Notebook";15.6;"Moderate";768;1366;100;0;0;"Intel";"Core i3";2.4;4;"HDD";1024;0;2.4;20459;1;0;0;0;1;0;0
"Dell";"Notebook";15.6;"Moderate";1080;1920;141;0;0;"Intel";"Core i7";1.8;8;"SSD";256;0;2.1;40908;0;1;0;0;1;0;0
"HP";"Notebook";15.6;"Moderate";1080;1920;141;0;0;"Intel";"Core i3";2.0;4;"SSD";128;0;1.9;23389;1;0;0;0;1;0;0
"Asus";"Notebook";15.6;"Moderate";768;1366;100;0;0;"Intel";"Core i5";2.5;4;"SSD";256;0;2.0;31232;1;0;0;0;1;0;0
"MSI";"Gaming";17.3;"High";1080;1920;127;0;0;"Intel";"Core i7";2.8;16;"SSD";256;2048;2.4;130482;0;0;1;0;1;0;0
"Asus";"Notebook";15.6;"Moderate";1080;1920;141;0;0;"Intel";"Core i3";2.0;4;"SSD";256;0;2.0;22111;1;0;0;0;0;1;0
"Dell";"Notebook";17.3;"High";1080;1920;127;0;0;"Intel";"Core i7";1.8;16;"SSD";256;2048;2.8;69210;0;1;0;0;1;0;0
"Dell";"Ultrabook";14.0;"Small";1080;1920;157;0;0;"Intel";"Core i5";1.6;8;"SSD";256;0;1.7;46833;1;0;0;0;1;0;0
"Lenovo";"Notebook";14.0;"Small";1080;1920;157;0;1;"Intel";"Core i3";2.7;8;"SSD";256;0;1.7;31914;1;0;0;0;0;0;0
"Asus";"Notebook";14.0;"Small";1080;1920;157;0;0;"Intel";"Core i5";1.6;8;"SSD";256;0;1.4;50136;1;0;0;0;1;0;0
"HP";"Notebook";15.6;"Moderate";1080;1920;141;0;0;"Intel";"Core i5";2.5;8;"SSD";256;0;1.9;36763;1;0;0;0;1;0;0
"Asus";"Ultrabook";15.6;"Moderate";1080;1920;141;0;0;"Intel";"Core i7";2.8;16;"SSD";512;0;1.8;105654;0;0;1;0;1;0;0
"HP";"Notebook";15.6;"Moderate";768;1366;100;0;0;"Intel";"Core i3";2.0;4;"HDD";500;0;1.9;23373;0;1;0;0;1;0;0
"HP";"Notebook";14.0;"Small";768;1366;112;0;0;"Intel";"Celeron Dual";1.6;4;"SSD";32;0;1.4;12201;1;0;0;0;1;0;0
"Lenovo";"Notebook";15.6;"Moderate";1080;1920;141;0;0;"Intel";"Core i5";2.5;4;"HDD";1024;0;1.9;29250;1;0;0;0;1;0;0
"Asus";"Gaming";17.3;"High";1080;1920;127;0;0;"Intel";"Core i7";2.8;12;"HDD";1024;0;3.0;50562;0;0;1;0;0;1;0
"Microsoft";"Ultrabook";13.5;"Small";1504;2256;201;1;0;"Intel";"Core i5";2.5;4;"SSD";128;0;1.3;58021;1;0;0;0;1;0;0
"Dell";"Ultrabook";13.3;"Small";1080;1920;166;0;1;"Intel";"Core i7";1.8;64;"SSD";256;0;1.4;50882;0;1;0;0;1;0;0
"Dell";"Notebook";15.6;"Moderate";1080;1920;141;0;0;"Intel";"Core i7";1.8;8;"SSD";256;0;2.2;46353;0;1;0;0;1;0;0
"MSI";"Gaming";17.3;"High";1080;1920;127;0;0;"Intel";"Core i5";2.5;8;"SSD";128;1024;2.7;58341;0;0;1;0;1;0;0
"Acer";"Notebook";14.0;"Small";768;1366;112;0;0;"Intel";"Core i3";2.0;8;"HDD";1024;0;2.1;20725;1;0;0;0;1;0;0
"Asus";"Gaming";15.6;"Moderate";1080;1920;141;0;0;"Intel";"Core i7";2.8;8;"HDD";1024;0;2.2;50562;0;0;1;0;1;0;0
"Lenovo";"Notebook";15.6;"Moderate";1080;1920;141;0;0;"Intel";"Core i5";2.5;8;"HDD";2048;0;2.2;27652;1;0;0;0;0;0;0
"Dell";"Notebook";15.6;"Moderate";1080;1920;141;0;0;"Intel";"Core i7";1.8;8;"SSD";128;1024;2.0;45554;1;0;0;0;1;0;0
"Acer";"Notebook";15.6;"Moderate";1080;1920;141;0;0;"Intel";"Core i3";2.7;4;"HDD";1024;0;2.2;28238;0;0;1;0;1;0;0
"HP";"Notebook";17.3;"High";1080;1920;127;0;0;"Intel";"Core i5";1.6;8;"SSD";128;1024;2.5;52054;0;0;1;0;1;0;0
"Dell";"Ultrabook";15.6;"Moderate";1080;1920;141;0;1;"Intel";"Core i5";1.6;8;"SSD";256;0;1.9;58403;1;0;0;0;1;0;0
"Apple";"Ultrabook";12.0;"Small";1440;2304;226;0;1;"Intel";"Core i5";1.3;8;"SSD";512;0;0.9;80452;1;0;0;1;0;0;0
"HP";"Notebook";14.0;"Small";1080;1920;157;0;0;"Intel";"Core i5";1.6;8;"SSD";256;0;1.6;45820;1;0;0;0;1;0;0
"Lenovo";"Notebook";15.6;"Moderate";1080;1920;141;0;0;"AMD";"A6-Series 9220";2.5;4;"SSD";128;0;2.2;21258;0;1;0;0;1;0;0
"Acer";"Notebook";15.6;"Moderate";768;1366;100;0;0;"AMD";"A9-Series 9420";3.0;4;"HDD";1024;0;2.1;21045;0;1;0;0;1;0;0
"Dell";"Gaming";15.6;"Moderate";1080;1920;141;0;1;"Intel";"Core i7";2.8;16;"SSD";128;1024;2.7;71874;0;0;1;0;1;0;0
"HP";"Ultrabook";15.6;"Moderate";1080;1920;141;0;1;"Intel";"Core i7";1.8;8;"SSD";256;0;1.8;37242;0;0;1;0;1;0;0
"HP";"Notebook";15.6;"Moderate";1080;1920;141;0;0;"Intel";"Core i5";2.5;8;"SSD";256;0;2.0;31914;1;0;0;0;1;0;0
"Asus";"Gaming";15.6;"Moderate";1080;1920;141;0;1;"Intel";"Core i7";2.8;16;"SSD";128;1024;2.2;77202;0;0;1;0;1;0;0
"Dell";"Ultrabook";13.3;"Small";1080;1920;166;0;1;"Intel";"Core i7";1.8;8;"SSD";256;0;1.2;87858;1;0;0;0;1;0;0
"Asus";"Gaming";15.6;"Moderate";1080;1920;141;0;0;"AMD";"FX 9830P";3.0;8;"HDD";1024;0;2.5;37242;0;1;0;0;1;0;0
"Acer";"Notebook";15.6;"Moderate";1080;1920;141;0;0;"Intel";"Core i7";1.8;2;"HDD";1024;0;2.2;36709;0;0;1;0;1;0;0
"HP";"Notebook";13.3;"Small";1080;1920;166;0;0;"Intel";"Core i7";1.8;16;"SSD";512;0;1.5;63776;1;0;0;0;1;0;0
"Dell";"Gaming";15.6;"Moderate";1080;1920;141;0;0;"Intel";"Core i5";2.5;8;"SSD";256;0;2.7;63871;0;0;1;0;1;0;0
"Asus";"Ultrabook";14.0;"Small";1080;1920;157;0;0;"Intel";"Core i7";2.7;8;"SSD";256;0;1.3;55890;1;0;0;0;1;0;0
"Acer";"2 in 1 Convertible";13.3;"Small";1080;1920;166;1;1;"Intel";"Core i5";1.6;8;"SSD";256;0;1.5;45128;1;0;0;0;1;0;0
"Dell";"Notebook";15.6;"Moderate";1080;1920;141;0;0;"Intel";"Core i7";2.7;8;"HDD";1024;0;2.2;31962;0;1;0;0;0;1;0
"Dell";"Notebook";15.6;"Moderate";1080;1920;141;0;0;"Intel";"Core i3";2.0;4;"SSD";256;0;2.2;25840;0;1;0;0;0;1;0
"Asus";"Notebook";15.6;"Moderate";1080;1920;141;0;0;"Intel";"Core i3";2.4;6;"SSD";256;0;2.0;30742;0;0;1;0;1;0;0
"HP";"Gaming";15.6;"Moderate";1080;1920;141;0;1;"Intel";"Core i7";2.8;12;"SSD";128;1024;2.6;66546;0;0;1;0;1;0;0
"HP";"Notebook";15.6;"Moderate";1080;1920;141;0;0;"Intel";"Core i7";2.7;8;"SSD";256;0;1.9;38308;0;1;0;0;1;0;0
"HP";"Notebook";15.6;"Moderate";1080;1920;141;0;0;"AMD";"E-Series E2-9000e";1.5;4;"HDD";500;0;2.1;18594;0;1;0;0;1;0;0
"Dell";"Notebook";15.6;"Moderate";1080;1920;141;0;0;"Intel";"Core i5";1.6;8;"HDD";1024;0;2.2;34472;0;1;0;0;0;1;0
"HP";"Ultrabook";13.3;"Small";1080;1920;166;0;1;"Intel";"Core i7";2.7;8;"SSD";256;0;1.4;59620;0;0;1;0;1;0;0
"Microsoft";"Ultrabook";13.5;"Small";1504;2256;201;1;0;"Intel";"Core i5";2.5;8;"SSD";256;0;1.3;71395;1;0;0;0;1;0;0
"HP";"Notebook";14.0;"Small";1080;1920;157;0;1;"Intel";"Core i5";2.5;6;"SSD";256;0;1.6;35111;0;0;1;0;1;0;0
"Lenovo";"Notebook";15.6;"Moderate";1080;1920;141;0;0;"Intel";"Core i3";2.0;4;"HDD";1024;0;1.9;22105;1;0;0;0;1;0;0
"Asus";"Ultrabook";14.0;"Small";1080;1920;157;0;1;"Intel";"Core i7";2.7;8;"SSD";256;0;1.3;63563;0;0;1;0;1;0;0
"MSI";"Gaming";15.6;"Moderate";1080;1920;141;0;0;"Intel";"Core i7";2.8;16;"SSD";256;1024;2.2;69210;0;0;1;0;1;0;0
"Lenovo";"Notebook";14.0;"Small";1080;1920;157;0;1;"Intel";"Core i7";2.7;8;"SSD";256;0;1.6;78854;1;0;0;0;1;0;0
"Asus";"Ultrabook";15.6;"Moderate";1080;1920;141;0;0;"Intel";"Core i7";1.8;16;"SSD";256;1024;1.5;67239;0;0;1;0;1;0;0
"Dell";"Ultrabook";13.3;"Small";1800;3200;276;1;0;"Intel";"Core i7";2.4;8;"SSD";256;0;1.2;73473;1;0;0;0;1;0;0
"Lenovo";"2 in 1 Convertible";13.3;"Small";1080;1920;166;1;1;"Intel";"Core i5";2.5;8;"SSD";256;0;1.4;74538;1;0;0;0;1;0;0
"HP";"Notebook";14.0;"Small";768;1366;112;0;1;"Intel";"Core i5";1.6;4;"HDD";500;0;1.6;38468;1;0;0;0;1;0;0
"Dell";"Ultrabook";13.3;"Small";1080;1920;166;0;1;"Intel";"Core i5";1.6;8;"SSD";256;0;1.2;86793;1;0;0;0;1;0;0
"HP";"Notebook";14.0;"Small";1080;1920;157;0;0;"Intel";"Core i7";1.8;8;"SSD";512;0;1.6;57755;1;0;0;0;1;0;0
"Dell";"Notebook";15.6;"Moderate";1080;1920;141;0;1;"Intel";"Core i7";1.8;8;"SSD";256;1024;2.2;60223;0;0;1;0;1;0;0
"Asus";"Notebook";17.3;"High";1080;1920;127;0;0;"Intel";"Core i3";2.0;4;"HDD";1024;0;2.0;30049;0;0;1;0;1;0;0
"Asus";"Notebook";15.6;"Moderate";1080;1920;141;0;0;"Intel";"Core i7";1.8;8;"SSD";256;0;1.7;59567;0;0;1;0;1;0;0
"Acer";"Notebook";15.6;"Moderate";1080;1920;141;1;1;"Intel";"Core i3";2.4;6;"HDD";1024;0;2.1;25521;1;0;0;0;1;0;0
"MSI";"Gaming";15.6;"Moderate";1080;1920;141;0;0;"Intel";"Core i7";2.8;16;"SSD";256;2048;1.8;119427;0;0;1;0;1;0;0
"Lenovo";"Notebook";15.6;"Moderate";1080;1920;141;0;0;"Intel";"Core i5";2.5;8;"SSD";256;0;2.2;33513;0;0;1;0;0;0;0
"HP";"Notebook";17.3;"High";1080;1920;127;0;0;"Intel";"Core i7";1.8;16;"SSD";512;0;2.5;67718;0;0;1;0;1;0;0
"Acer";"Notebook";15.6;"Moderate";768;1366;100;0;0;"AMD";"A9-Series 9420";3.0;4;"SSD";256;0;2.1;24029;0;1;0;0;1;0;0
"HP";"Notebook";14.0;"Small";1080;1920;157;0;0;"Intel";"Core i5";1.6;8;"HDD";1024;0;1.6;43263;1;0;0;0;1;0;0
"Asus";"Notebook";14.0;"Small";768;1366;112;0;0;"AMD";"E-Series 6110";1.5;4;"SSD";64;0;1.7;14811;0;1;0;0;1;0;0
"Dell";"Notebook";17.3;"High";1080;1920;127;0;0;"Intel";"Core i7";1.8;16;"SSD";256;2048;2.8;74378;0;1;0;0;1;0;0
"HP";"Notebook";17.3;"High";1080;1920;127;0;0;"Intel";"Core i5";1.6;8;"SSD";256;0;2.5;49443;1;0;0;0;1;0;0
"Dell";"Notebook";15.6;"Moderate";768;1366;100;0;0;"Intel";"Core i5";2.5;8;"HDD";1024;0;2.4;34045;0;1;0;0;1;0;0
"Dell";"Notebook";15.6;"Moderate";1080;1920;141;0;0;"Intel";"Core i3";2.0;4;"HDD";1024;0;2.2;23922;0;1;0;0;1;0;0
"Acer";"Ultrabook";14.0;"Small";1080;1920;157;0;1;"Intel";"Core i7";1.8;8;"SSD";256;0;1.6;47099;1;0;0;0;1;0;0
"Acer";"Notebook";15.6;"Moderate";1080;1920;141;0;0;"Intel";"Core i3";2.7;4;"SSD";256;0;7.2;30476;0;0;1;0;1;0;0
"HP";"Notebook";15.6;"Moderate";768;1366;100;0;0;"Intel";"Core i7";2.7;8;"HDD";1024;0;2.1;31861;1;0;0;0;1;0;0
"HP";"Notebook";14.0;"Small";1080;1920;157;0;0;"Intel";"Core i7";1.8;8;"SSD";256;0;1.6;52640;1;0;0;0;1;0;0
"Lenovo";"Notebook";15.6;"Moderate";768;1366;100;0;0;"Intel";"Celeron Dual";1.1;4;"HDD";1024;0;1.9;13445;1;0;0;0;0;0;0
"Asus";"Gaming";17.3;"High";1080;1920;127;0;0;"Intel";"Core i5";2.5;8;"SSD";128;1024;3.0;49976;0;0;1;0;1;0;0
"Lenovo";"Notebook";15.6;"Moderate";1080;1920;141;0;0;"Intel";"Core i5";2.5;4;"HDD";1024;0;2.2;26586;0;0;1;0;0;0;0
"HP";"Notebook";13.3;"Small";1080;1920;166;0;1;"Intel";"Core i5";2.5;4;"SSD";256;0;1.3;37242;1;0;0;0;1;0;0
"Acer";"Notebook";17.3;"High";1080;1920;127;0;1;"Intel";"Core i3";2.7;4;"HDD";1024;0;3.0;34898;0;0;1;0;1;0;0
"Lenovo";"Notebook";14.0;"Small";1080;1920;157;0;1;"Intel";"Core i5";1.6;8;"SSD";256;0;1.8;59461;0;1;0;0;1;0;0
"Lenovo";"Gaming";15.6;"Moderate";1080;1920;141;0;1;"Intel";"Core i7";2.8;8;"SSD";256;0;2.4;46300;0;0;1;0;0;0;0
"Toshiba";"Notebook";15.6;"Moderate";768;1366;100;0;0;"Intel";"Core i5";2.3;4;"HDD";500;0;2.1;32074;1;0;0;0;1;0;0
"HP";"Notebook";15.6;"Moderate";768;1366;100;0;0;"AMD";"A6-Series 9220";2.5;4;"SSD";256;0;1.9;19660;0;1;0;0;1;0;0
"Asus";"Ultrabook";14.0;"Small";1080;1920;157;0;0;"Intel";"Core i7";1.8;8;"SSD";256;0;1.3;58554;1;0;0;0;1;0;0
"HP";"Ultrabook";12.5;"Small";2160;3840;352;1;1;"Intel";"Core M";1.2;8;"SSD";512;0;1.0;107305;1;0;0;0;1;0;0
"Asus";"Notebook";15.6;"Moderate";1080;1920;141;0;0;"Intel";"Celeron Dual";1.1;4;"HDD";1024;0;2.0;18328;1;0;0;0;1;0;0
"Acer";"Notebook";15.6;"Moderate";768;1366;100;0;0;"Intel";"Core i3";2.0;4;"HDD";1024;0;2.1;23816;1;0;0;0;1;0;0
"Dell";"Gaming";15.6;"Moderate";1080;1920;141;0;0;"Intel";"Core i7";2.8;16;"SSD";512;0;2.6;66560;0;0;1;0;1;0;0
"Dell";"Gaming";15.6;"Moderate";1080;1920;141;0;0;"Intel";"Core i7";2.8;8;"Hybrid";1024;0;2.6;47898;0;0;1;0;1;0;0
"Lenovo";"Notebook";15.6;"Moderate";768;1366;100;0;0;"Intel";"Core i5";2.5;4;"SSD";128;0;1.9;26533;1;0;0;0;1;0;0
"MSI";"Gaming";17.3;"High";1080;1920;127;0;0;"Intel";"Core i7";2.8;16;"SSD";256;1024;2.8;100699;0;0;1;0;1;0;0
"HP";"Ultrabook";14.0;"Small";1080;1920;157;0;0;"Intel";"Core i5";2.7;4;"SSD";256;0;1.5;57648;1;0;0;0;1;0;0
"HP";"Notebook";15.6;"Moderate";1080;1920;141;0;0;"Intel";"Core i5";1.6;6;"SSD";256;0;1.9;32980;0;1;0;0;1;0;0
"Lenovo";"2 in 1 Convertible";14.0;"Small";1080;1920;157;1;1;"Intel";"Core i3";2.4;4;"SSD";256;0;1.7;33513;1;0;0;0;1;0;0
"Asus";"2 in 1 Convertible";13.3;"Small";1080;1920;166;1;0;"Intel";"Core i5";1.6;8;"SSD";256;0;1.1;70063;1;0;0;0;1;0;0
"Dell";"2 in 1 Convertible";15.6;"Moderate";1080;1920;141;1;0;"Intel";"Core i7";1.8;8;"SSD";256;0;1.6;55890;1;0;0;0;1;0;0
"Toshiba";"Notebook";15.6;"Moderate";768;1366;100;0;0;"Intel";"Core i3";2.2;4;"HDD";500;0;2.1;23816;1;0;0;0;1;0;0
"Asus";"Notebook";15.6;"Moderate";768;1366;100;0;0;"AMD";"A9-Series 9420";3.0;4;"HDD";1024;0;2.0;21471;0;1;0;0;1;0;0
"Acer";"Notebook";17.3;"High";1080;1920;127;0;1;"Intel";"Core i5";1.6;4;"SSD";256;0;3.0;42890;0;0;1;0;1;0;0
"Dell";"Notebook";15.6;"Moderate";1080;1920;141;0;0;"Intel";"Core i5";1.6;8;"SSD";256;0;2.1;38787;0;1;0;0;1;0;0
"Lenovo";"Gaming";15.6;"Moderate";1080;1920;141;0;1;"Intel";"Core i7";2.8;16;"SSD";256;0;2.5;57489;0;0;1;0;1;0;0
"Acer";"Notebook";15.6;"Moderate";768;1366;100;0;0;"Intel";"Celeron Dual";1.1;4;"HDD";1024;0;2.1;18541;1;0;0;0;1;0;0
"MSI";"Gaming";15.6;"Moderate";1080;1920;141;0;1;"Intel";"Core i7";2.8;16;"SSD";256;1024;2.4;95850;0;0;1;0;1;0;0
"Acer";"Notebook";15.6;"Moderate";768;1366;100;0;0;"Intel";"Pentium Quad";1.1;4;"HDD";1024;0;2.1;19367;1;0;0;0;1;0;0
"Dell";"Gaming";15.6;"Moderate";1080;1920;141;0;0;"Intel";"Core i7";2.8;8;"SSD";128;1024;2.6;56502;0;0;1;0;1;0;0
"Acer";"Notebook";17.3;"High";1080;1920;127;0;1;"Intel";"Core i5";1.6;8;"SSD";256;0;3.0;45501;0;0;1;0;1;0;0
"HP";"Notebook";13.3;"Small";1080;1920;166;0;1;"Intel";"Core i5";1.6;4;"HDD";500;0;1.5;40173;1;0;0;0;1;0;0
"Huawei";"Ultrabook";13.0;"Small";1440;2160;200;0;1;"Intel";"Core i5";2.5;8;"SSD";256;0;1.1;71874;1;0;0;0;1;0;0
"HP";"Notebook";17.3;"High";1080;1920;127;0;1;"Intel";"Core i5";2.5;6;"HDD";2048;0;2.7;37242;0;1;0;0;1;0;0
"Lenovo";"Notebook";15.6;"Moderate";768;1366;100;0;0;"AMD";"A6-Series 9220";2.9;4;"HDD";500;0;2.2;16463;0;1;0;0;0;0;0
"Toshiba";"Notebook";15.6;"Moderate";768;1366;100;0;0;"Intel";"Core i3";2.4;4;"HDD";500;0;5.4;26053;1;0;0;0;1;0;0
"HP";"Notebook";17.3;"High";1080;1920;127;0;0;"Intel";"Core i5";1.6;8;"SSD";256;0;2.5;49177;0;0;1;0;1;0;0
